id,family,best_hasa_f1,best_hasa_precision,best_hasa_recall,best_hasa_threshold,elapsed_min
baseline_len12_mild_center,baseline,0.6601001952959157,0.5264797507788161,0.8846153846153846,0.66,2.92
size_len6_center,size,0.6126126126126126,0.44155844155844154,1.0,0.57,3.51
size_len18_center,size,0.6494845360824743,0.49411764705882355,0.9473684210526315,0.51,2.92
size_dense_spacing03,size,0.6795113965495531,0.5440613026819924,0.9047619047619048,0.67,2.92
size_sparse_spacing075,size,0.6136422136422137,0.46855345911949686,0.8888888888888888,0.66,3.34
metric_radius05,metric,0.278683992258778,0.17445482866043613,0.6923076923076923,0.66,2.92
metric_radius15,metric,0.8352717276379784,0.7383177570093458,0.9615384615384616,0.66,2.92
shape_straight,shape,0.7236777063766684,0.5951219512195122,0.9230769230769231,0.56,2.92
shape_wide_sine,shape,0.6453162530024019,0.5040650406504065,0.896551724137931,0.54,3.42
shape_tight_wave,shape,0.6736093472186945,0.5234899328859061,0.9444444444444444,0.50,3.17
shape_long_wave,shape,0.6666121380664158,0.5207667731629393,0.9259259259259259,0.69,2.92
shape_axial_tilt,shape,0.6326946596004892,0.4911392405063291,0.8888888888888888,0.51,2.92
loc_depth32_center,location,0.8275862068965517,0.75,0.9230769230769231,0.73,2.92
loc_depth52_center,location,0.4805932983272885,0.3299145299145299,0.8846153846153846,0.64,2.92
loc_depth62_center,location,0.3763245534362701,0.24197002141327623,0.8461538461538461,0.66,2.92
loc_y_m18,location,0.5404575464455704,0.3970223325062035,0.8461538461538461,0.58,3.67
loc_y_m9,location,0.7164179104477613,0.7422680412371134,0.6923076923076923,0.74,2.92
loc_y_p9,location,0.4500574052812859,0.2975708502024291,0.9230769230769231,0.42,3.59
loc_y_p18,location,0.49056603773584906,0.48148148148148145,0.5,0.84,3.01
loc_z_m18,location,0.6410674573758339,0.5026737967914439,0.8846153846153846,0.65,2.92
loc_z_m9,location,0.6232731137088204,0.4811320754716981,0.8846153846153846,0.71,3.59
loc_z_p9,location,0.6112600536193029,0.5253456221198156,0.7307692307692307,0.64,3.01
loc_z_p18,location,0.5760585467851542,0.47540983606557374,0.7307692307692307,0.65,2.92
loc_diag_m12_m12,location,0.6138879570613888,0.6559139784946236,0.5769230769230769,0.73,2.92
loc_diag_m12_p12,location,0.6194182712003278,0.5023255813953489,0.8076923076923077,0.65,3.59
loc_diag_p12_m12,location,0.4879012345679012,0.36619718309859156,0.7307692307692307,0.78,3.00
loc_diag_p12_p12,location,0.42899966692572444,0.2920634920634921,0.8076923076923077,0.67,3.59
